,position_on_page,title,link,published_date,views,length,description,extensions,channel.name,channel.link,channel.verified,channel.thumbnail,thumbnail.static,thumbnail.rich
0,2,SQL Tutorial - Full Database Course for Beginners,https://www.youtube.com/watch?v=HXV3zeQKqGY,3 years ago,8705669.0,4:20:39,"The course is designed for beginners to SQL and database management systems, and will introduce common database ...",['CC'],freeCodeCamp.org,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,True,https://yt3.ggpht.com/ytc/AKedOLTtJvQ1Vfew91vemeLaLdhjOwGx3tTBLlreK_QUyA=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/HXV3zeQKqGY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDqd2jbSFzyQDvmezQaU6AtvYTDZw,
1,3,What is SQL? [in 4 minutes for beginners],https://www.youtube.com/watch?v=27axs9dO7AE,2 years ago,1023883.0,4:26,"Structured Query Language - or SQL, is a language that communicates with databases. Learn what SQL is, and why it is an ...",['CC'],Danielle Thé,https://www.youtube.com/user/TheDanslo,,https://yt3.ggpht.com/ytc/AKedOLQSJz8qFWIg80KQ6Jwz7RyO6BkD_rn9O4pwY-q5xoE=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/27axs9dO7AE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAGHjEpyr4yFQbivKmx8aSxvWKabA,https://i.ytimg.com/an_webp/27axs9dO7AE/mqdefault_6s.webp?du=3000&sqp=CM3Ow4wG&rs=AOn4CLA1F5sL0TVne_tnaU7pWuNVVrsB6w
2,4,Learn Basic SQL in 15 Minutes | Business Intelligence For Beginners | SQL Tutorial For Beginners,https://www.youtube.com/watch?v=kbKty5ZVKMY,1 year ago,276298.0,17:40,In this SQL tutorial for beginners you'll learn how to write basic SQL queries to ask for data from databases in just 15 minutes.,['CC'],Vitamin Business Intelligence,https://www.youtube.com/channel/UC1bhYMFuSFREIQ5bgclLDkQ,,https://yt3.ggpht.com/ytc/AKedOLSzdp-oJz5vpnYIBwlzC04oBFF46HBmgj92bM6U=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/kbKty5ZVKMY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD4hVVUoOXUgLBVnKlm-OgpzV5NDA,https://i.ytimg.com/an_webp/kbKty5ZVKMY/mqdefault_6s.webp?du=3000&sqp=CPL4w4wG&rs=AOn4CLBsiIoyahqt-IE-oOfYP5ChG48pow
3,5,MySQL Tutorial for Beginners [Full Course],https://www.youtube.com/watch?v=7S_tz1z_5bA,2 years ago,5032440.0,3:10:19,⭐️Want to learn more from me? Check out these links: Courses: https://codewithmosh.com Twitter: ...,['CC'],Programming with Mosh,https://www.youtube.com/user/programmingwithmosh,True,https://yt3.ggpht.com/tBEPr-zTNXEeae7VZKSZYfiy6azzs9OHowq5ZvogJeHoVtKtEw2PXSwzMBKVR7W0MI7gyND8=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/7S_tz1z_5bA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDlohTYZhQDSWG32v6EfxEUlv6wqA,https://i.ytimg.com/an_webp/7S_tz1z_5bA/mqdefault_6s.webp?du=3000&sqp=CIDsw4wG&rs=AOn4CLCP4hYEpKlRSvvo9iT0e4cVH50jhw
4,6,Learn SQL In 60 Minutes,https://www.youtube.com/watch?v=p3qvj9hO_Bo,2 years ago,532553.0,56:24,"In this video we will cover everything you need to know about SQL in only 60 minutes. We will cover what SQL is, why SQL is ...",,Web Dev Simplified,https://www.youtube.com/channel/UCFbNIlppjAuEX4znoulh0Cw,True,https://yt3.ggpht.com/ytc/AKedOLQpvSjzSCSo8ZKCjBZS7TRX7omb_kyQirh2zgEY=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/p3qvj9hO_Bo/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBTCqYgaYKtdF6s9idh6k_EcM4zxg,https://i.ytimg.com/an_webp/p3qvj9hO_Bo/mqdefault_6s.webp?du=3000&sqp=CJ75w4wG&rs=AOn4CLAIixgbHz7P2R3j4BzvzuOHWzi0RA
5,7,Learn SQL in 1 Hour - SQL Basics for Beginners,https://www.youtube.com/watch?v=9Pzj7Aj25lw,4 years ago,2771033.0,1:02:23,A crash course in SQL. How to write SQL from scratch in 1 hour. In this video I show you how to write SQL using SQL Server and ...,,Joey Blue,https://www.youtube.com/user/SqlTrainingOnline,,https://yt3.ggpht.com/ytc/AKedOLQMmwMu4j3eGRbheFUAG4GZ0MWnH9h5pXz9gGtNWg=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/9Pzj7Aj25lw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAp6KCxUO6kEOuxuDIYOrzNdRrFtg,
6,8,"MySQL IN 10 MINUTES | Introduction to Databases, SQL, & MySQL",https://www.youtube.com/watch?v=2bW3HuaAUcY,2 years ago,285063.0,11:30,"This tutorial provides and introduction to Databases, SQL and the open source relational database- MySQL. Video Timestamps: ...",['CC'],365 Data Science,https://www.youtube.com/channel/UCEBpSZhI1X8WaP-kY_2LLcg,True,https://yt3.ggpht.com/LY2g2Zg4GSS0IhUUhBR-_zWrv7W_R0KlulydrFM9YejEM-ac6L7QN2lrC0kqi0rdHNQtESya6g=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/2bW3HuaAUcY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDCp0CEKoOF-BBiE5J3Y0FbFKgwSA,https://i.ytimg.com/an_webp/2bW3HuaAUcY/mqdefault_6s.webp?du=3000&sqp=CODkw4wG&rs=AOn4CLA7qpXk_I3wmQJPkefvbbMi9-titQ
7,9,CS50 2020 - Lecture 7 - SQL,https://www.youtube.com/watch?v=Wb0DM9I8RDo,8 months ago,89696.0,2:37:20,TABLE OF CONTENTS 00:00:00 - Introduction 00:00:49 - Data 00:01:34 - Spreadsheets 00:08:50 - Flat-File Databases 00:10:53 ...,"['4K', 'CC']",CS50,https://www.youtube.com/user/cs50tv,True,https://yt3.ggpht.com/ytc/AKedOLTZloGQkLBOEhaQ7mR-DLvcslyP1bq4EIcIXPqNMA=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/Wb0DM9I8RDo/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC1WHEWj-mXiTHT1Y6IvGAaNXfXUg,https://i.ytimg.com/an_webp/Wb0DM9I8RDo/mqdefault_6s.webp?du=3000&sqp=CIzaw4wG&rs=AOn4CLAeSKgIgrfm6spxD1_r-bjtLT1FSg
8,10,SQL Explained in 100 Seconds,https://www.youtube.com/watch?v=zsjvFFKOm3c,7 months ago,104040.0,2:23,"Learn the fundamentals of Structured Query Language SQL! Even though it's over 40 years old, the world's most popular ...",['4K'],Fireship,https://www.youtube.com/channel/UCsBjURrPoezykLs9EqgamOA,True,https://yt3.ggpht.com/ytc/AKedOLTcIl6kKt3lEPJEySUf_hpHiKDKiFeo9eWPReLysQ=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/zsjvFFKOm3c/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCjYKKg0u5_vydxeUzPQkVs9TpwAg,https://i.ytimg.com/an_webp/zsjvFFKOm3c/mqdefault_6s.webp?du=3000&sqp=CLfNw4wG&rs=AOn4CLBTw1Q1up_iPF2yTxs0LPbA56FcTA
9,11,SQL Full Course | SQL Tutorial For Beginners | 🔥Learn SQL In 8 Hours | SQL Training | Simplilearn,https://www.youtube.com/watch?v=AA7i2GcTGwU,Streamed 4 months ago,164146.0,8:02:36,"This SQL full course video covers everything to master structure query language using MySQL, PostgreSQL as well as SQL server ...",,Simplilearn,https://www.youtube.com/user/Simplilearn,True,https://yt3.ggpht.com/ytc/AKedOLTaNnIZrEVNHk-OgfTRlO1n2aeAZ657f5FrG-5EaA=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/AA7i2GcTGwU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCaU7jOTlvYw3zNDMWhFyiVoZ5isw,https://i.ytimg.com/an_webp/AA7i2GcTGwU/mqdefault_6s.webp?du=3000&sqp=CKvew4wG&rs=AOn4CLDVJxJSu8uh9KS7GlrTeKGO6P3xrw
10,12,SQL Full Course | SQL Tutorial For Beginners | Learn SQL (Structured Query Language) | Edureka,https://www.youtube.com/watch?v=BPHAr4QGGVE,2 years ago,1253650.0,4:07:51,***Database Commands*** 17:03 Create Database Objects 25:04 Alter Table Statements 30:47 Drop Table Statements 32:05 ...,['CC'],edureka!,https://www.youtube.com/user/edurekaIN,True,https://yt3.ggpht.com/ytc/AKedOLTyvoU_YW3YmDgIXlJ8JpzFnNoZPVvQk9xFxfMkzQ=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/BPHAr4QGGVE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCCCL7rAP-doQRXNXDllpXZ6ezHqg,
11,13,SQL Course | SQL Training | SQL Tutorial For Beginners | Intellipaat,https://www.youtube.com/watch?v=LGTbdjoEBVM,Streamed 10 months ago,306946.0,5:17:55,"In this live session on the SQL course, firstly we will introduce you to what is a database, DBMS and later on, we will teach you ...",,Intellipaat,https://www.youtube.com/user/intellipaaat,,https://yt3.ggpht.com/ytc/AKedOLS6b8799EKUAXsDl9MW2Er4x07qWinXpeKgfuTMLrk=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/LGTbdjoEBVM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAxmAMi5ho-NDiSnv2A2n2pxQ7Pgw,
12,16,SQL Basics for Beginners | Learn SQL | SQL Tutorial for Beginners | Edureka,https://www.youtube.com/watch?v=zbMHLJ0dY4w,2 years ago,1101483.0,27:51,------------------------------------- To subscribe to our channel and hit the bell icon to never miss an update from us in the future: ...,,edureka!,https://www.youtube.com/user/edurekaIN,True,https://yt3.ggpht.com/ytc/AKedOLTyvoU_YW3YmDgIXlJ8JpzFnNoZPVvQk9xFxfMkzQ=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/zbMHLJ0dY4w/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBz6q3GAtigrHvDeRayf73PBNHxeQ,https://i.ytimg.com/an_webp/zbMHLJ0dY4w/mqdefault_6s.webp?du=3000&sqp=CNTpw4wG&rs=AOn4CLDecwy2D0PLLlxJo8LB0ZUrZd6ReQ
13,17,Curso SQL Completo 2019 [Iniciantes] + Desafios + Muita Prática,https://www.youtube.com/watch?v=rX2I7OjLqWE,2 years ago,2008031.0,3:56:46,"Não perca nenhuma aula de curso sql aqui na Dev Aprender, este curso completo de sql é para todos, mesmo que você ainda ...",,Dev Aprender,https://www.youtube.com/channel/UCm63tB8wsKOVvxoU4iMpS2A,True,https://yt3.ggpht.com/zec2yFW3gESy-Pz8tCwecY6tJR67YSPPy3srANEBKI8AavFj5lubK614rCGgORi_vtH6ciLC4VI=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/rX2I7OjLqWE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCi33uqcWWI2y1r85iZa-Rn1KlS1g,https://i.ytimg.com/an_webp/rX2I7OjLqWE/mqdefault_6s.webp?du=3000&sqp=CPHiw4wG&rs=AOn4CLC7qRRi7Djs57mNON8SLbwqnq6lAA
14,19,Learn how to write SQL Queries(Practice Complex SQL Queries),https://www.youtube.com/watch?v=FNYdBLwZ6cE,2 months ago,119927.0,49:56,"Learn how to write SQL Queries(Practice Complex SQL Queries) In this video, I will explain the thinking behind writing an SQL ...",,techTFQ,https://www.youtube.com/channel/UCnz-ZXXER4jOvuED5trXfEA,,https://yt3.ggpht.com/ICr89DNdy4Xe3eA4ceTDJ7ty18uM7bf5Xmk2b-aQsSAazCtqzSqEvPFQEXiENlmVq92MGNwj9w=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/FNYdBLwZ6cE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDWGj6Lqdz5FXyhTuNnSZi-OFqGtQ,
15,20,SQL Step by Step Tutorial - Full Course for Beginners,https://www.youtube.com/watch?v=ChkvdW76dSk,2 years ago,206557.0,8:22:30,"https://www.gcreddy.com/2021/05/sql-step-by-step-videos.html https://gcreddy.info/sql-tutorial-for-beginners/ Introduction to SQL, ...",,G C Reddy Software Testing,https://www.youtube.com/user/gcreddy7,,https://yt3.ggpht.com/ytc/AKedOLTCfCiMjQrh1BexTGJp0pBvVDWW24VzdyP6_CJafQ=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/ChkvdW76dSk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBmjsJ24I9W1ekiL3rpmkb2MX9NwA,
16,21,Advanced SQL course | SQL tutorial advanced,https://www.youtube.com/watch?v=2Fn0WAyZV0E,2 years ago,262185.0,1:17:51,SQL is a domain-specific language used in programming and designed for managing data held in a relational database ...,,Geek's Lesson,https://www.youtube.com/channel/UCKXx22vOENUyHrVAADq7Z_g,True,https://yt3.ggpht.com/ytc/AKedOLSOiCd8Xcl333BaOEClAz55bIBOFfBB1oDznJM9Sg=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/2Fn0WAyZV0E/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLChgK0WtZlDDglOXMSgjUbmDb45vQ,
17,22,SQL - A Quick Overview  |¦| SQL Tutorial |¦| SQL for Beginners,https://www.youtube.com/watch?v=OfM5lC-7R4Y,2 years ago,212426.0,8:26,"SQL is a powerful language for working with databases. Today, we take you on a quick tour of SQL space and highlight the main ...",['CC'],Socratica,https://www.youtube.com/user/SocraticaStudios,,https://yt3.ggpht.com/ytc/AKedOLRKOfcLzqsa4fmKml3QJdjmJ2iAqzX7uU0svuvkCQ=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/OfM5lC-7R4Y/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBQNmhvuKsRFsy0vgfWs_me8xogTA,https://i.ytimg.com/an_webp/OfM5lC-7R4Y/mqdefault_6s.webp?du=3000&sqp=CNS8w4wG&rs=AOn4CLCpmQYXI1693XBku9Ku4-TIcEy-xA
